Test,Animal,Experiment,Stage,Trial,P4_tget_latency_to_first_entry,Distance(m),Path_efficiency,Q1_entries,Q1_time,Q1_distance,Q1_mean_visit,Q2_entries,Q2_time,Q2_distance,Q2_mean_visit,Q3_entries,Q3_time,Q3_distance,Q3_mean_visit,Q4_tget_entries,Q4_tget_time,Q4_tget_distance,Q4_tget_latency_to_first_entry,Q4_tget_mean_visit,P4_tget_entries,P4_tget_mean_distance_from,P4_tget_time_getting_closer_to_zone,Q4_Pecent_time,P4_time_getting_closer,Fake_crossings_P1.P2.P3
269,23,4,3,3,"31,3","7,059","0,071",4,"9,4","2,181","2,3",4,"9,1","2,647","2,3",1,"0,1","0,056","0,1",3,"12,7","2,176","2,7","4,2",0,"0,287","13,2",41,42,"1,00"
22,6,1,1,2,"60,0","7,027","0,018",2,"40,7","1,948","20,3",3,"7,6","2,423","2,5",3,"6,8","1,627","2,3",2,"4,0","0,835","13,4","2,0",0,"0,446","19,8",7,33,1
159,21,3,2,3,"60,0","6,968","0,045",1,"0,1","0,043","0,1",4,"19,5","1,839","4,9",1,"5,0","0,871","5,0",2,"16,0","1,482","34,3","8,0",0,"0,462","27,6",27,46,2
34,2,1,2,2,"32,6","6,921","0,042",4,"5,9","1,386","1,5",0,"0,0","0,000","0,0",3,"3,3","0,707","1,1",8,"19,7","3,797","0,0","2,5",1,"0,132","12,5",60,38,0
72,12,2,3,4,"57,1","6,900","0,053",1,"0,5","0,102","0,5",2,"8,4","0,920","4,2",3,"22,0","2,397","7,3",3,"13,3","2,073","0,0","4,4",1,"0,481","29,3",23,51,1
84,15,2,3,4,"53,5","6,894","0,018",2,"0,5","0,160","0,3",3,"10,7","0,797","3,6",1,"3,1","0,800","3,1",3,"27,6","2,207","0,0","9,2",1,"0,400","23,1",52,43,2
129,32,6,4,1,"26,1","6,848","0,095",4,"9,1","2,682","2,3",2,"2,9","0,870","1,4",2,"2,1","0,589","1,0",4,"12,1","2,707","2,3","3,0",1,"0,237","12,6",46,48,"1,00"
95,18,2,3,3,"40,1","6,820","0,034",0,"0,0","0,000","0,0",1,"0,9","0,142","0,9",2,"4,5","0,734","2,2",4,"29,8","4,916","1,1","7,4",1,"0,170","18,7",74,47,0
74,5,1,4,2,"60,0","6,707","0,042",1,"9,9","0,197","9,9",0,"0,0","0,000","0,0",5,"12,7","3,372","2,5",5,"35,7","2,688","2,7","7,1",0,"0,293","26,5",60,44,3
168,20,3,3,4,"34,1","6,604","0,080",0,"0,0","0,000","0,0",4,"6,0","1,320","1,5",3,"7,4","1,206","2,5",5,"12,5","2,009","2,5","2,5",1,"0,273","16,5",37,48,0
100,34,6,2,3,"43,1","6,582","0,089",2,"13,6","2,067","6,8",2,"7,4","1,563","3,7",4,"6,2","1,205","1,5",4,"16,0","1,748","6,9","4,0",1,"0,334","20,5",37,48,"2,00"
77,6,1,4,1,"60,0","6,489","0,057",0,"0,0","0,000","0,0",1,"3,6","0,943","3,6",6,"19,7","3,591","3,3",7,"30,0","1,363","1,3","4,3",0,"0,399","27,8",50,46,0
85,16,2,3,1,"26,6","6,446","0,090",1,"0,1","0,000","0,1",1,"1,6","0,550","1,6",2,"7,8","1,993","3,9",4,"9,8","2,049","4,3","2,5",2,"0,330","12,0",37,45,2
102,12,2,4,2,"60,0","6,429","0,125",0,"0,0","0,000","0,0",2,"14,2","1,557","7,1",2,"34,9","2,712","17,5",1,"2,5","0,604","35,2","2,5",0,"0,591","36,4",4,61,0
194,27,5,3,1,"60,0","6,397","0,067",4,"32,2","2,516","8,1",4,"20,3","2,701","5,1",2,"2,0","0,338","1,0",2,"5,5","0,842","1,4","2,7",0,"0,401","30,3",9,51,"0,00"
32,1,1,2,4,"21,1","6,394","0,042",4,"7,1","2,938","1,8",0,"0,0","0,000","0,0",0,"0,0","0,000","0,0",4,"13,1","3,224","1,4","3,3",1,"0,215","7,6",62,36,0
87,31,6,2,2,"37,6","6,354","0,056",3,"10,1","2,101","3,4",2,"1,6","0,200","0,8",3,"7,1","1,349","2,4",4,"18,8","2,704","9,9","4,7",0,"0,200","17,1",50,45,"1,00"
42,13,2,2,2,"60,0","6,314","0,158",0,"0,0","0,000","0,0",2,"2,2","0,239","1,1",3,"36,2","3,196","12,1",1,"18,6","2,519","1,8","18,6",0,"0,471","35,5",31,59,0
10,13,2,1,2,"60,0","6,291","0,138",0,"0,0","0,000","0,0",2,"19,7","1,475","9,9",1,"7,2","0,811","7,2",2,"15,2","2,018","0,0","7,6",0,"0,543","25,6",25,43,0
